# Terrain overflow check: blend.terrain.y-range.max=301 (pack-configured)
# Tiles: 200x200, seed: 1, pack: CHIMERA
# Positions where terrain.sampler + terrain.sampler-2d density > 0 at y=301
x=51568 z=28284 y=301 biome=WOODED_BUTTES density=3.607482
x=51572 z=28284 y=301 biome=WOODED_BUTTES density=7.859536
x=51568 z=28288 y=301 biome=WOODED_BUTTES density=12.212873
x=51572 z=28288 y=301 biome=WOODED_BUTTES density=16.875351
x=51576 z=28288 y=301 biome=WOODED_BUTTES density=13.959080
x=51580 z=28288 y=301 biome=WOODED_BUTTES density=3.540714
x=51568 z=28292 y=301 biome=WOODED_BUTTES density=13.279880
x=51572 z=28292 y=301 biome=WOODED_BUTTES density=21.647261
x=51576 z=28292 y=301 biome=WOODED_BUTTES density=22.911269
x=51580 z=28292 y=301 biome=WOODED_BUTTES density=8.166288
x=51568 z=28296 y=301 biome=WOODED_BUTTES density=13.496698
x=51572 z=28296 y=301 biome=WOODED_BUTTES density=22.107781
x=51576 z=28296 y=301 biome=WOODED_BUTTES density=24.961206
x=51580 z=28296 y=301 biome=WOODED_BUTTES density=11.730947
x=51584 z=28296 y=301 biome=WOODED_BUTTES density=1.013813
x=51568 z=28300 y=301 biome=WOODED_BUTTES density=17.440012
x=51572 z=28300 y=301 biome=WOODED_BUTTES density=20.770459
x=51576 z=28300 y=301 biome=WOODED_BUTTES density=10.077386
x=51580 z=28300 y=301 biome=WOODED_BUTTES density=6.887601
x=51584 z=28300 y=301 biome=WOODED_BUTTES density=4.460496
x=51564 z=28304 y=301 biome=WOODED_BUTTES density=6.695803
x=51568 z=28304 y=301 biome=WOODED_BUTTES density=21.110549
x=51572 z=28304 y=301 biome=WOODED_BUTTES density=21.646864
x=51576 z=28304 y=301 biome=WOODED_BUTTES density=7.160926
x=51580 z=28304 y=301 biome=WOODED_BUTTES density=8.009613
x=51584 z=28304 y=301 biome=WOODED_BUTTES density=0.511777
x=51564 z=28308 y=301 biome=WOODED_BUTTES density=7.778904
x=51568 z=28308 y=301 biome=WOODED_BUTTES density=13.435668
x=51572 z=28308 y=301 biome=WOODED_BUTTES density=28.471419
x=51576 z=28308 y=301 biome=WOODED_BUTTES density=25.964521
x=51580 z=28308 y=301 biome=WOODED_BUTTES density=10.556193
x=51584 z=28308 y=301 biome=WOODED_BUTTES density=0.841933
x=51596 z=28308 y=301 biome=WOODED_BUTTES density=5.415872
x=51600 z=28308 y=301 biome=WOODED_BUTTES density=6.275565
x=51560 z=28312 y=301 biome=WOODED_BUTTES density=4.890721
x=51564 z=28312 y=301 biome=WOODED_BUTTES density=11.196198
x=51568 z=28312 y=301 biome=WOODED_BUTTES density=18.685405
x=51572 z=28312 y=301 biome=WOODED_BUTTES density=36.016458
x=51576 z=28312 y=301 biome=WOODED_BUTTES density=35.250010
x=51580 z=28312 y=301 biome=WOODED_BUTTES density=27.395427
x=51584 z=28312 y=301 biome=WOODED_BUTTES density=5.783655
x=51592 z=28312 y=301 biome=WOODED_BUTTES density=14.896650
x=51596 z=28312 y=301 biome=WOODED_BUTTES density=18.893009
x=51600 z=28312 y=301 biome=WOODED_BUTTES density=4.890729
x=51560 z=28316 y=301 biome=WOODED_BUTTES density=3.143249
x=51564 z=28316 y=301 biome=WOODED_BUTTES density=22.460550
x=51568 z=28316 y=301 biome=WOODED_BUTTES density=36.793283
x=51572 z=28316 y=301 biome=WOODED_BUTTES density=42.204538
x=51576 z=28316 y=301 biome=WOODED_BUTTES density=37.890506
x=51580 z=28316 y=301 biome=WOODED_BUTTES density=22.567161
x=51584 z=28316 y=301 biome=WOODED_BUTTES density=2.085089
x=51560 z=28320 y=301 biome=WOODED_BUTTES density=4.407737
x=51564 z=28320 y=301 biome=WOODED_BUTTES density=30.296316
x=51568 z=28320 y=301 biome=WOODED_BUTTES density=40.539090
x=51572 z=28320 y=301 biome=WOODED_BUTTES density=44.840785
x=51576 z=28320 y=301 biome=WOODED_BUTTES density=40.893176
x=51580 z=28320 y=301 biome=WOODED_BUTTES density=9.375004
x=51564 z=28324 y=301 biome=WOODED_BUTTES density=13.547870
x=51568 z=28324 y=301 biome=WOODED_BUTTES density=25.945820
x=51572 z=28324 y=301 biome=WOODED_BUTTES density=29.983590
x=51576 z=28324 y=301 biome=WOODED_BUTTES density=21.555758
x=1500 z=47612 y=301 biome=DIKSAM_PLATEAU density=1.318268
x=1504 z=47612 y=301 biome=DIKSAM_PLATEAU density=1.394336
x=1504 z=47616 y=301 biome=DIKSAM_PLATEAU density=1.007055
x=1508 z=47616 y=301 biome=DIKSAM_PLATEAU density=0.623829
x=1336 z=52996 y=301 biome=FIR_HIGHLANDS density=0.362459
x=1576 z=47616 y=301 biome=DIKSAM_PLATEAU density=2.025054
x=1600 z=47620 y=301 biome=DIKSAM_PLATEAU density=2.611058
x=1604 z=47620 y=301 biome=DIKSAM_PLATEAU density=2.068766
x=1596 z=47624 y=301 biome=DIKSAM_PLATEAU density=4.968859
x=1600 z=47624 y=301 biome=DIKSAM_PLATEAU density=11.019315
x=1604 z=47624 y=301 biome=DIKSAM_PLATEAU density=4.265953
x=1592 z=47628 y=301 biome=DIKSAM_PLATEAU density=3.092280
x=1596 z=47628 y=301 biome=DIKSAM_PLATEAU density=10.638604
x=1600 z=47628 y=301 biome=DIKSAM_PLATEAU density=14.748298
x=1604 z=47628 y=301 biome=DIKSAM_PLATEAU density=6.764827
x=1592 z=47632 y=301 biome=DIKSAM_PLATEAU density=5.910260
x=1596 z=47632 y=301 biome=DIKSAM_PLATEAU density=12.984942
x=1600 z=47632 y=301 biome=DIKSAM_PLATEAU density=13.582005
x=1604 z=47632 y=301 biome=DIKSAM_PLATEAU density=6.035855
x=1592 z=47636 y=301 biome=DIKSAM_PLATEAU density=0.716848
x=1596 z=47636 y=301 biome=DIKSAM_PLATEAU density=8.611958
x=1600 z=47636 y=301 biome=DIKSAM_PLATEAU density=4.109336
x=1596 z=47640 y=301 biome=DIKSAM_PLATEAU density=0.794835
x=1540 z=47560 y=301 biome=DIKSAM_PLATEAU density=3.164672
x=1544 z=47560 y=301 biome=DIKSAM_PLATEAU density=6.854715
x=1548 z=47560 y=301 biome=DIKSAM_PLATEAU density=8.041928
x=1552 z=47560 y=301 biome=DIKSAM_PLATEAU density=6.386787
x=1556 z=47560 y=301 biome=DIKSAM_PLATEAU density=1.825829
x=1560 z=47560 y=301 biome=DIKSAM_PLATEAU density=1.028638
x=1536 z=47564 y=301 biome=DIKSAM_PLATEAU density=4.185122
x=1540 z=47564 y=301 biome=DIKSAM_PLATEAU density=13.063292
x=1544 z=47564 y=301 biome=DIKSAM_PLATEAU density=23.213386
x=1548 z=47564 y=301 biome=DIKSAM_PLATEAU density=13.818391
